Frase;Sentimento;Confiança
A senhora acha que mudou muito desde aquela época para hoje em dia?;3 stars;3124
Mudou muita coisa.;3 stars;3005
Mudou muito, em que sentido?;2 stars;3665
Mudou tudo, totalmente.;5 stars;5112
Em que?;1 star;3307
Mudou em que?;1 star;3091
Tudo.;5 stars;4881
Educação, tecnologia, transporte.;5 stars;4206
Tudo.;5 stars;4881
A forma das pessoas pensarem.;4 stars;3587
Tudo totalmente mudou.;1 star;5395
Mudou sempre para pior, obviamente.;2 stars;4295
A única coisa que ainda mudou um pouco, que mudou para melhor, foi a parte da medicina.;3 stars;38
A medicina mudou, o avanço da medicina foi muito grande.;5 stars;3184
Mas a parte das pessoas mesmo, de caráter e tudo, essa parte mudou para pior.;2 stars;4366
Isso é fato.;5 stars;305
As coisas mudaram para pior, sensivelmente.;2 stars;4503
Ok. Qual o valor mais importante que eles te ensinaram?;4 stars;3724
Essa parte de respeito.;5 stars;4095
Respeito, confiança.;5 stars;5098
Valores de... Essa parte de valores de confiança é muito importante.;5 stars;5036
Tanto do meu pai como da minha mãe, mas, principalmente, do meu pai.;4 stars;4242
Quando a gente trabalha, principalmente no trabalho, relações pessoais, trabalho, onde a gente passar, a gente deixar sempre uma boa imagem da gente, que as pessoas sejam lembradas e deixam marca que a pessoa é uma pessoa confiável, que é uma pessoa que tem valores positivos, que deixou uma marca, alguma coisa de positivo por onde passa.;5 stars;2727
Meu pai disse que era... Uma frase que ele me ensinou, que eu nunca esqueci, que é como se fosse assim, seja indispensável.;5 stars;5387
Onde você for, faça com que o seu trabalho, faça com que a sua presença seja indispensável.;4 stars;4248
Não deixe que as pessoas lhe descartem à toa.;2 stars;324
Seja indispensável.;5 stars;5327
E foi isso uma coisa que pautei e sempre procurei ser na minha vida.;5 stars;621
Foi isso aí.;5 stars;3507
Bom, muito bom.;5 stars;5736
A senhora acha que hoje, como adulta, a senhora entende melhor eles naquela época?;3 stars;3765
Como eles agiam, as coisas que eles faziam?;5 stars;2747
Sim, acho que na vida da gente, na hora, a gente faz sempre o melhor.;3 stars;4208
Não pode querer que a vida deles também pode se posicionar a vida deles, como eles foram criados.;4 stars;3979
Eles também não educaram a gente da forma que eles foram criados, porque a criação deles foi... Eles foram criados com muita dureza.;2 stars;5112
Meus avós criaram o meu pai, tanto a minha mãe como o meu pai.;5 stars;6897
O meu pai foi criado de uma forma muito dura.;2 stars;2649
E eles foram infinitamente melhores com a gente.;5 stars;5846
Mas a educação do meu pai foi muito rígida.;3 stars;4699
Isso aí é sem dúvida.;5 stars;3266
E a gente não pode ficar levando, dizendo que... Pensar só na parte que foi educada muito rígida.;2 stars;4465
Tive uma educação... O meu pai era muito severo, porque era o melhor dele.;3 stars;3066
Tenho certeza absoluta que ele estava fazendo aquilo ali para fazer o melhor.;5 stars;2487
Tenho certeza que ele fez o melhor.;5 stars;3802
Acho que a minha personalidade foi lapidada dessa forma.;3 stars;2308
Não acho ruim a minha forma de ser, não.;2 stars;5016
Eu gosto de ser assim.;5 stars;4325
Se a senhora pudesse mudar, não mudaria nada?;1 star;3552
Não.;1 star;594
Ok. E agora para as perguntas principais.;3 stars;508
Qual a característica que a senhora mais se orgulha de ter dado deles?;3 stars;302
Ou de algum deles?;3 stars;2949
"Essa parte que eu já falei, que eu tenho uma... Eu sou muito rígida na minha forma de... 

Em seus ideais, não é?";2 stars;4026
Não, mas na minha forma de... De ver as coisas, de analisar.;3 stars;4882
Eu sou muito rígida comigo, principalmente, e com os outros.;2 stars;43
Eu sou muito severa nas críticas com as pessoas.;2 stars;4801
Eu tenho uma forma de pensar.;5 stars;3067
Sou muito crítica no comportamento das pessoas.;3 stars;3964
Não aceito muitas desculpas.;1 star;7145
Nisso aí eu sou muito... Você sabe disso.;5 stars;3211
Você é minha filha, você sabe disso.;5 stars;4755
Eu não aceito muitas desculpas, nem minhas.;1 star;498
Eu sou muito rígida, principalmente, comigo.;2 stars;4356
E com as pessoas.;5 stars;4249
Assim como eu sou comigo, eu sou com as pessoas.;5 stars;6149
Eu não acho que... Tem muitas coisas que acontecem que as pessoas... Hoje em dia, isso é uma coisa que eu acho errado.;2 stars;3687
Hoje em dia, se desculpam muito as pessoas.;5 stars;5546
"""Ah, porque é isso"", ""porque é aquilo"", ""Desculpa fulano fez isso porque é assim, porque é assado"".";1 star;5066
Não existe desculpa.;1 star;4743
As pessoas hoje se desculpam muito pelas más atitudes.;4 stars;3003
E isso que está piorando o mundo é por conta disso.;5 stars;5224
Porque não existe mais rigidez.;3 stars;3734
Tem que ter uma certa rigidez na disciplina das pessoas.;3 stars;5568
Não estou falando de ter regime de dureza, de castigo.;1 star;525
Não, não é isso.;1 star;6346
Tem que ter uma certa cobrança mais rígida nas atitudes das pessoas.;3 stars;5421
E as pessoas hoje estão deixando as coisas correrem frouxas e sem ter uma certa punição pelos atos que as pessoas fazem.;5 stars;3228
E isso eu acho que está acontecendo.;5 stars;3689
Principalmente os pais com os filhos.;3 stars;4273
Os pais estão muito deixando a [coisa] correr frouxa.;2 stars;4386
Não querem mais ter o trabalho de educar os filhos de forma correta.;4 stars;2919
E isso meus pais fizeram bem com a gente.;5 stars;4626
Uma coisa também que eu herdei deles, que é uma característica, é a minha memória.;5 stars;5059
Tenho uma memória boa de fatos, de números, de datas, e isso eu herdei muito do meu pai.;5 stars;4737
De memória de coisas que aconteceram, de locais, associar datas com locais.;4 stars;4539
Eu lembro de coisas, dos lugares que morei, de eventos, de datas.;5 stars;4189
"Tanto que o Fernando fala muito: ""Como é que sabe das datas?"".";5 stars;4225
Eu sei datas de coisas da minha infância, sei de tudo.;5 stars;3063
E isso é meu pai.;5 stars;576
Quando eu lembro de datas, eu lembro dele.;3 stars;2606
Ele sabe datas todas da infância dele e eu lembro isso.;5 stars;552
Isso é uma característica que eu herdei dele.;5 stars;4945
Meus irmãos têm muito disso.;5 stars;4112
Mas eu me vejo muito nisso aí.;3 stars;3906
Eu herdei dele isso aí.;5 stars;4083
Essa facilidade de decorar eventos, datas, episódios, onde foi, como foi.;5 stars;4677
Isso é a memória que chama a memória do elefante.;5 stars;531
A memória a senhora herdou mais de vovô, e a parte da rigidez dos dois, mas eu acho que principalmente de vovó também.;3 stars;463
Não, mas dele e de mainha também.;2 stars;3849
Mas mainha é menos flexível.;3 stars;5298
Minha mãe é mais dura.;3 stars;2906
Ela não é muito flexível.;3 stars;4545
Meu pai é mais flexível, ela não.;2 stars;4651
Sim.;3 stars;3278
Ok, e agora a próxima.;3 stars;4102
Qual a característica que a senhora mais se orgulha de ter passado para mim?;3 stars;2874
Essa parte de ser uma pessoa mais solidária, mais humana.;2 stars;2769
Eu acho que é ter mais empatia, que hoje se precisa ter olhos de ver as coisas com sentido mais apurado.;3 stars;4742
Não ver as coisas, que eu falo muito, não ver as coisas simplesmente só por ver o que está acontecendo ali, mas o porquê das coisas que estão acontecendo.;2 stars;3003
Eu acho que isso eu consigo passar para você.;5 stars;4343
Você consegue ver isso muito, porque eu falo muito nisso, eu bato muito nisso, que as coisas não podem ser vistas simplesmente só porque você vê, olha e está ali.;5 stars;2635
Não, mas tem que ver o porquê daquilo que está acontecendo ali.;3 stars;4183
Isso a gente tem que analisar e não pode ser, a gente não pode tirar conclusões daquilo porque está ali.;1 star;363
Só porque está ali, aí você tira a conclusão daquilo que está ali.;3 stars;4139
Tem que tirar a conclusão do porquê chegou até aquilo ali.;3 stars;263
E tentar combater antes de chegar aquilo ali, tentar não deixar que aquilo, se quiser que não aconteça, fazer com que aquilo não chegue até o ponto que está do jeito que está.;4 stars;2816
E é exatamente, voltamos ao ponto que eu falo, as coisas estão do jeito que estão hoje porque ninguém combate, ninguém vai atrás das causas que estão lá atrás.;5 stars;3679
Continua combatendo o que está hoje.;5 stars;5326
É como se combater, estamos em um grande tanque cheio d'água e esse tanque tem um vazamento que a gente não sabe, esse vazamento está lá, aí o que acontece que fazem hoje?;5 stars;3221
"Colocam um balde para a água que está vazando, em vez de... 

procurar o furo e tapar o furo por dentro.";1 star;4493
Sim.;3 stars;3278
E isso é que tem que ser feito, mas não, as pessoas estão colocando a balde ali, enchendo, quando a balde enche, aí vai lá e coloca outro balde, aí vai aparando, tapando o sol com a peneira, vão tapando o buraco, aqui, ali, ali, e nunca consertam as coisas como devem ser consertadas.;1 star;5469
Por isso que a história das enchentes, as grandes enchentes, os grandes problemas estruturais das cidades é em consequência disso aí, ninguém trata os problemas na fonte, não põe o dedo na ferida.;1 star;4415
Isso em todas as causas, a educação das crianças, as crianças hoje estão do jeito que estão porque ninguém vai... A educa, desde o começo, como é que tem que ser educada.;5 stars;5428
Hoje em dia é tudo, é a educação aos filhos, é prioridade aos filhos, hoje os filhos são uns pequenos tiranos, os filhos pequenos são os deuses dentro de casa, e não pode ser assim.;5 stars;4111
No meu tempo, quem era o provedor era o meu pai, o meu pai era o rei dentro de casa, para ele era tudo, ele era a melhor comida, era a melhor cadeira, era a melhor tudo, o melhor lençol, tudo era para ele, porque ele era o provedor, hoje em dia não, hoje é para os filhos, as melhores coisas são para os filhos, e isso está errado, nem tanto é o sol, nem tanto é o mar, nem tanto é o mar, nem tanto é a terra, como diz o outro.;1 star;4218
Estava errado antigamente porque era muito exagero e hoje está errado também, mas eu prefiro o meu tempo do que hoje, porque hoje estão se criando pequenos tiranos, é isso que está acontecendo.;2 stars;3754
"Ok.

Diga.";3 stars;5437
Tem algo em mim que te surpreende e que a senhora acha que não tem nada a ver com você?;3 stars;4333
"Assim eu não, assim me pegando assim de surpresa, não sei, na hora, nas coisas, às vezes, sim, tem coisas às vezes que eu pergunto e você me responde de uma forma que me surpreende, tem algumas coisas que eu, alguns atos, mas, assim, me perguntando, não... 

Não tem nada que te lembre de alguma coisa que é totalmente diferente de alguma coisa?";2 stars;4406
São detalhes pequenos que, às vezes, a forma como minha filha vê, responde, me mostra, que é como se fosse assim, eu acho que é como se me mostrasse uma forma diferente de ver as coisas, entendeu?;3 stars;4313
E isso aí faz de vez em quando, mas não consigo pontuar, dizer exatamente o que é, mas o que acontece ali, acolá, sim, isso acontece.;2 stars;4019
Ok. E a última pergunta, se a senhora pudesse dar um conselho para mim, como mãe e como filho de seus pais, qual seria?;3 stars;5508
Como mãe e filha?;3 stars;2599
Como minha mãe e filha de seus pais, um conselho para a senhora.;5 stars;553
Se a senhora quisesse dar um conselho.;1 star;3393
Tem alguma coisa?;1 star;3314
"Não, eu acho assim, a vida da pessoa, cada um tem suas experiências, eu não posso dizer, tem algumas coisas que eu posso aconselhar, tem coisas que são tragédias anunciadas, que eu posso dizer: ""olha, não faça assim, porque é assim, pode acontecer isso, isso e isso"".";3 stars;3107
Mas, no geral, eu gostaria muito de que um passo importante que você fosse dar na sua vida, você sempre perguntasse a quem?;3 stars;5798
Ou a mim, ou a sua avó, o sea avô, alguém que pudesse lhe dar um conselho.;5 stars;273
Mas, no final, você pudesse, eu gostaria que você tivesse a capacidade de ter a consciência de tomar a decisão correta, mas o bom é que você sempre consiga ter as suas próprias experiências, tirar as suas próprias conclusões.;3 stars;4429
Obviamente, sem correr risco.;4 stars;324
Tem coisas que a pessoa, não, vou tirar, vou fazer isso, porque eu tenho que correr o risco, eu tenho que ter essa experiência.;1 star;2338
Não é assim.;2 stars;451
A vida da gente, cada um tem suas experiências, cada um tem que passar por alguma coisa para poder vivenciar.;4 stars;4476
Não, não vou fazer isso, porque eu não vou correr risco.;1 star;568
Se a gente não correr risco, a gente não vive.;1 star;436
Se a pessoa não for viver... Não, eu não vou viver, viver é correr risco.;1 star;7315
Você está vivendo, você está correndo risco todos os dias.;5 stars;4788
Então, a vida é um constante correr risco.;2 stars;31
Então, o que eu quero passar para você é que você aprenda, pelo menos comigo, de que a gente tem que correr risco, mas tem que correr risco minimamente com segurança.;3 stars;4556
Mas a gente não pode deixar de fazer as coisas por medo ou porque não vai dar certo.;3 stars;4394
Não, a gente tem que arriscar.;1 star;5917
A gente tem que arriscar, porque se a gente não arriscar, a gente não vai saber se deu certo ou se não deu.;1 star;4044
Se não deu certo, mas valeu a pena.;3 stars;517
Não tem como.;2 stars;405
Tem que arriscar.;1 star;2342
A vida da gente tem que arriscar.;5 stars;355
A gente não vai fazer coisas que corram risco de vida.;1 star;4436
Eu acho que já mostrei que já arrisquei bastante na minha vida, que já fiz coisas dentro de uma certa segurança.;4 stars;3712
Eu não faço nada que não esteja em uma certa segurança, mas tem que arriscar.;2 stars;3731
A vida da gente tem que arriscar, porque é isso que afeta a vida.;5 stars;4138
Os riscos, a história da gente é essa.;5 stars;3688
Eu fiz isso, não deu certo.;1 star;5018
Mas aí eu fui para outro, fiz outra coisa.;2 stars;3862
E assim vai.;5 stars;4591
Porque tem coisas que a gente até sabe como vai ser o final, mas, se a gente não viver aquilo, a gente não vai entender cem porcento como é.;2 stars;3482
A vida da gente faz o que pode até o destino ser revelado.;4 stars;4704
A gente não sabe o que vai acontecer.;1 star;3302
A gente não sabe o que vai acontecer, mas a gente faz pensando que pode.;3 stars;4101
Aquilo que a gente quer vai dar certo, mas, às vezes, não dá.;3 stars;4005
Mas a gente tem que fazer por ordem, porque a gente não sabe.;3 stars;4502
Até que o destino seja revelado.;4 stars;3041
Mas a minha experiência de vida é que a gente não pode correr atrás de um sonho, de uma coisa, e gastar todos os nossos esforços naquilo ali sem olhar para os lados.;2 stars;3252
Só olhar em fresta, ficar olhando aquilo ali naquele sonho.;1 star;3577
Essa foi a lição de vida que eu aprendi.;5 stars;5583
A gente tem que deixar as portas abertas e deixar as coisas virem.;1 star;4499
Porque, na minha experiência de vida, a maioria das coisas que eu pensei em ir atrás, não deram certo.;2 stars;4607
Então, hoje, eu espero que as coisas venham para mim e, a partir daquilo que vem, eu sigo.;5 stars;3414
Eu pego o que vem e sigo com aquilo que vem para mim.;5 stars;3257
Porque ficar batendo na porta de coisas, tentando, tentando, tentando, naquilo que, às vezes, você deixa de ver o que está do lado, que é a oportunidade.;5 stars;2191
É muito melhor do que aquilo que você está olhando em frente sem olhar para os lados.;5 stars;7489
Isso aí é uma lição que muita gente só aprende com o tempo.;5 stars;4045
Mas, hoje, na minha experiência, é essa a experiência que eu passo para você.;5 stars;3232
Está bem.;4 stars;4618
Obrigada, mãe.;4 stars;3461
