Column1;Column2;Column3
Acho que não sei castigar.;3 stars;0.3308
Mas pronto.;3 stars;0.3334
Ent.;5 stars;0.3333
: E achas que é preciso?;3 stars;0.2991
Que fazia mais falta?;1 star;0.331
Luís M.: Não, em relação aos filhos, não.;1 star;0.4121
Mas em relação ao exterior... Quando eu era diretor da urgência, podia ter sido mais rígido.;3 stars;0.5687
Ent.;5 stars;0.3333
: Veemente, sim.;2 stars;0.2826
Luís M.: E não fui muito.;2 stars;0.3741
Mas correu bem.;3 stars;0.5177
Correu bem.;4 stars;0.4068
Pelos vistos, há alguns colegas que hoje dizem, e isto é uma herança do meu pai, que eu fui um diretor de que eles gostavam.;5 stars;0.3528
"Vê lá as horas... 

(Pergunta sobre as filhas)

Luís M.: Lembro-me quando íamos numa viagem nos Pirinéus.";3 stars;0.2688
Íamos para a França, acho eu.;1 star;0.2624
"E dou fé que as meninas foram jantar, quiseram uma mesa para elas, e entenderam-se com o ""criado"" (empregado de mesa).";1 star;0.2253
En français.;5 stars;0.2914
Ent.;5 stars;0.3333
: Ficaste contente.;5 stars;0.3943
Luís M.: Eu achei aquilo... Fiquei comovido.;1 star;0.3228
Ent.;5 stars;0.3333
": Foi comovente 

Luís M.: Absolutamente.";5 stars;0.363
Mais do que eu, elas eram melhores.;3 stars;0.2757
Foi bom.;4 stars;0.421
Mais do que sim.;3 stars;0.3165
Foi o facto... Eu não costumo gabar-me.;5 stars;0.2991
Ent.;5 stars;0.3333
: Não é uma coisa só de gabar.;1 star;0.3699
Eu acho que nós todos sentimos que temos coisas boas.;3 stars;0.2992
"E, por exemplo, eu fui muito... 

Luís M.: Aquela facilidade...A competência social, por um lado.";3 stars;0.3617
Ter uma competência social a ser capaz de enfrentar.;4 stars;0.4539
E a competência linguística.;4 stars;0.3635
Achei aquilo muito bonito.;5 stars;0.6262
Ent.;5 stars;0.3333
: Nós acho que sentimos todas, também, que aprendemos ou que herdámos de vocês a curiosidade de aprender sempre e a estar sempre... a gostar de saber coisas novas e não haver fim para isso.;5 stars;0.5518
Nunca achar que aquilo que a gente sabe é suficiente.;5 stars;0.2862
Isso é uma coisa muito boa.;5 stars;0.5541
E faz parte disso, não é?;3 stars;0.2713
De a gente querer exercer, aprender uma coisa, quer mexer, quer fazer.;5 stars;0.5094
Luís M.: Se, por um lado, tinham herdado de mim, a mim encheu o ego.;1 star;0.3938
Ent.;5 stars;0.3333
: E de características?;2 stars;0.3362
Tens mais alguma comum a todas?;1 star;0.3068
Tipo, de maneira de ser, de caráter?;3 stars;0.3822
Luís M.: Acho que... Caráter honesto, frontal, generoso, por outro lado.;2 stars;0.3162
Acho que sim, que me posso envaidecer das filhas.;3 stars;0.2966
Eu acho que tenho... ou que eduquei três meninas de classe mundial.;5 stars;0.2956
Ent.;5 stars;0.3333
: Que bom.;5 stars;0.2814
Luís M.: É só.;3 stars;0.4204
Ent.;5 stars;0.3333
: É só?;3 stars;0.3655
Pronto, vamos parar.;1 star;0.335
Obrigada.;5 stars;0.3885
Luís M.: De nada.;1 star;0.6118
